order_id,order_date,customer_id,region,product_category,product_name,quantity,unit_price,discount
ORD504155,2024-12-26,C100365,South,Sports & Outdoors,Water Bottle,1,26.92,0.1
ORD500800,2024-05-20,C100157,West,Home & Kitchen,Storage Containers,3,27.37,0.0
ORD502355,2024-11-26,C101329,North,Apparel,Cotton T-Shirt,1,20.7,0.15
ORD503799,2024-11-13,C100198,North,Electronics,Laptop Stand,3,37.73,0.0
ORD500562,2024-10-14,C100044,West,Sports & Outdoors,Resistance Bands,1,30.36,0.0
ORD504033,2024-12-16,C100598,Central,Electronics,Bluetooth Speaker,1,60.72,0.2
ORD501341,2024-02-21,C101687,East,Electronics,Wireless Earbuds,3,82.38,0.0
ORD502456,2024-03-28,C101405,South,Apparel,Baseball Cap,3,21.74,0.0
ORD503922,2024-11-04,C101352,South,Electronics,USB-C Charger,1,26.04,0.2
ORD502123,2024-03-02,C101182,North,Electronics,Smart Watch,2,208.48,0.1
ORD502481,2024-09-04,C101191,South,Home & Kitchen,Cast Iron Pan,3,56.55,0.0
ORD501258,2024-01-22,C101513,West,Beauty,Shampoo Bar,2,12.29,0.0
ORD501506,2024-05-27,C101962,East,Apparel,Hoodie,1,48.57,0.0
ORD502727,2024-12-19,C102544,East,Electronics,Bluetooth Speaker,1,57.33,0.1
ORD503681,2024-10-17,C102125,South,Home & Kitchen,Ceramic Mug Set,4,37.94,0.0
ORD500078,2024-12-02,C100401,Central,Beauty,Face Serum,3,40.38,0.1
ORD503679,2024-11-08,C102013,East,Sports & Outdoors,Yoga Mat,1,39.92,0.0
ORD503954,2024-11-12,C101044,North,Electronics,USB-C Charger,3,23.88,0.1
ORD501537,2024-10-05,C100894,West,Electronics,Bluetooth Speaker,1,58.53,0.0
ORD502147,2024-11-02,C100469,East,Sports & Outdoors,Water Bottle,3,30.32,0.0
ORD501464,2024-11-05,C101792,North,Home & Kitchen,Cast Iron Pan,2,53.89,0.0
ORD504286,2024-12-13,C100461,North,Beauty,Face Serum,1,40.13,0.15
ORD504998,2024-02-02,C101965,North,Home & Kitchen,Ceramic Mug Set,2,34.95,0.0
ORD502635,2024-05-10,C100958,East,Electronics,Smart Watch,1,209.51,0.0
ORD501463,2024-04-28,C101893,North,Apparel,Baseball Cap,1,23.34,0.0
ORD500305,2024-12-04,C102022,North,Apparel,Baseball Cap,2,24.07,0.2
ORD503683,2024-10-28,C102346,,Electronics,Laptop Stand,4,39.02,0.1
ORD500971,2024-02-06,C101364,East,Home & Kitchen,Cast Iron Pan,1,56.12,0.0
ORD505020,2024-03-30,C100255,West,Electronics,Wireless Earbuds,1,85.88,0.0
ORD503479,2024-10-28,C100507,West,Beauty,Lip Balm Trio,2,15.57,0.0
ORD500387,2024-07-06,C101054,South,Home & Kitchen,Ceramic Mug Set,1,38.83,0.0
ORD505178,2024-12-29,C100883,East,Electronics,USB-C Charger,1,25.38,0.0
ORD501042,2024-10-16,C101211,West,Home & Kitchen,Cast Iron Pan,4,51.83,0.0
ORD503925,2024-10-03,C100129,East,Home & Kitchen,Ceramic Mug Set,1,34.43,0.0
ORD500149,2024-03-26,C100358,East,Sports & Outdoors,Camping Lantern,4,44.25,0.15
ORD504430,2024-08-21,C101050,West,Electronics,Laptop Stand,2,41.6,0.2
ORD505114,2024-08-09,C101475,East,Home & Kitchen,Ceramic Mug Set,2,32.07,0.0
ORD500459,2024-12-06,C100925,South,Electronics,Laptop Stand,1,44.14,0.1
ORD501059,2024-02-23,C100031,Central,Electronics,Bluetooth Speaker,2,61.25,0.0
ORD504711,2024-02-23,C102277,North,Home & Kitchen,Chef's Knife,4,73.68,0.0
ORD502820,2024-03-01,C102530,West,Beauty,Lip Balm Trio,3,16.18,0.0
ORD503741,2024-10-21,C100288,East,Beauty,Hand Cream,1,17.73,0.0
ORD501935,2024-10-16,C101510,North,Home & Kitchen,Chef's Knife,1,71.46,0.0
ORD504393,2024-01-24,C100521,South,Sports & Outdoors,Trekking Poles,1,80.71,0.0
ORD501390,2024-08-08,C100587,South,Apparel,Cotton T-Shirt,1,21.25,0.0
ORD503425,2024-11-22,C100385,Central,Home & Kitchen,Storage Containers,3,28.18,0.25
ORD505064,2024-06-05,C101279,East,Sports & Outdoors,Camping Lantern,1,47.6,0.0
ORD500531,2024-09-20,C102099,North,  Apparel ,Running Socks,2,14.11,0.0
ORD502013,2024-10-02,C101440,North,Apparel,Running Socks,2,12.65,0.0
ORD502470,2024-11-21,C102573,West,Sports & Outdoors,Camping Lantern,2,42.94,0.2
ORD502893,2024-04-05,C100218,Central,Electronics,Smart Watch,4,191.22,0.0
ORD502703,2024-11-27,C100756,South,Apparel,Cotton T-Shirt,2,23.5,0.0
ORD500318,2024-05-17,C100622,Central,Apparel,Running Socks,1,12.76,0.0
ORD502326,2024-06-05,C101662,West,Electronics,USB-C Charger,3,24.76,0.0
ORD500453,2024-12-31,C101584,East,Sports & Outdoors,Trekking Poles,2,74.74,0.2
ORD501499,2024-10-10,C100600,East,Electronics,Bluetooth Speaker,1,49.44,0.0
ORD501379,2024-05-23,C101350,West,Electronics,Wireless Earbuds,4,81.42,0.0
ORD501169,2024-12-13,C100356,West,Beauty,Lip Balm Trio,3,14.77,0.15
ORD502441,2024-08-03,C102265,North,Apparel,Cotton T-Shirt,1,20.44,0.0
ORD503121,2024-06-11,C102504,South,Electronics,USB-C Charger,1,26.36,0.0
ORD501137,2024-04-02,C100322,South,Home & Kitchen,Cast Iron Pan,2,54.09,0.0
ORD503785,2024-06-14,C101118,South,Sports & Outdoors,Camping Lantern,1,45.48,0.0
ORD501179,2024-11-19,C101562,Central,Apparel,Running Socks,1,13.99,0.0
ORD501951,2024-02-03,C102505,North,Apparel,Hoodie,1,46.37,0.0
ORD501189,2024-04-28,C101420,West,Apparel,Hoodie,1,44.92,0.0
ORD500968,2024-11-20,C101815,East,Electronics,Smart Watch,1,175.04,0.0
ORD502179,2024-03-12,C100690,South,Apparel,Hoodie,4,46.75,0.0
ORD503811,2024-03-02,C101794,Central,Sports & Outdoors,Trekking Poles,2,81.24,0.0
ORD504066,2024-09-19,C100521,South,Apparel,Running Socks,2,14.29,0.1
ORD504433,2024-06-28,C100286,North,Home & Kitchen,Cast Iron Pan,2,59.14,0.15
ORD504817,2024-04-09,C100311,South,Home & Kitchen,Storage Containers,2,29.28,0.0
ORD501167,2024-07-05,C101290,East,Apparel,Hoodie,2,45.36,0.0
ORD504628,2024-01-06,C100521,South,Home & Kitchen,Ceramic Mug Set,3,33.18,0.0
ORD502244,2024-09-19,C100883,East,Beauty,Face Serum,1,48.08,0.0
ORD502706,2024-09-25,C102574,East,apparel,Baseball Cap,4,23.87,0.0
ORD503724,2024-01-16,C101864,West,Home & Kitchen,Storage Containers,2,25.35,0.1
ORD503293,2024-11-02,C101060,Central,Electronics,Wireless Earbuds,1,80.65,0.0
ORD501905,2024-01-11,C100572,East,Apparel,Denim Jacket,2,92.48,0.0
ORD502728,2024-02-15,C100452,,Electronics,USB-C Charger,2,23.53,0.0
ORD501124,2024-12-26,C100288,East,Beauty,Shampoo Bar,1,12.07,0.2
ORD503950,2024-01-04,C100217,North,Home & Kitchen,Storage Containers,1,31.41,0.0
ORD503132,2024-08-20,C100801,,electronics,Wireless Earbuds,2,88.87,0.0
ORD504052,2024-12-06,C101567,North,Beauty,Hand Cream,1,19.27,0.1
ORD503119,2024-05-13,C101628,North,Electronics,Bluetooth Speaker,1,55.13,0.0
ORD500452,2024-11-22,C101062,South,Electronics,Laptop Stand,1,43.02,0.15
ORD504019,2024-03-21,C100673,West,Electronics,Bluetooth Speaker,2,61.57,0.0
ORD504092,2024-12-28,C100070,North,Electronics,Wireless Earbuds,2,83.19,0.0
ORD500664,2024-12-04,C100218,Central,Electronics,Wireless Earbuds,3,82.37,0.0
ORD502125,2024-04-08,C101947,Central,Electronics,Bluetooth Speaker,1,56.83,0.0
ORD501320,2024-07-21,C101624,South,Apparel,Hoodie,2,46.02,0.0
ORD501966,2024-05-09,C100624,Central,Apparel,Hoodie,2,47.75,0.0
ORD504037,2024-06-04,C102387,North,Apparel,Denim Jacket,4,92.39,0.0
ORD501143,2024-04-02,C100991,West,Electronics,USB-C Charger,3,24.95,0.0
ORD501060,2024-09-09,C102298,North,Beauty,Shampoo Bar,1,12.11,0.0
ORD501989,2024-09-14,C101778,South,Beauty,Lip Balm Trio,4,15.69,0.0
ORD504685,2024-08-20,C102438,East,Electronics,Wireless Earbuds,2,81.67,0.0
ORD500722,2024-01-21,C102414,East,Electronics,Laptop Stand,2,44.85,0.0
ORD503001,2024-12-23,C100197,Central,Apparel,Running Socks,2,14.48,0.15
ORD504348,2024-09-23,C102220,South,Home & Kitchen,Chef's Knife,1,67.35,0.0
ORD503787,2024-09-03,C100573,West,Electronics,USB-C Charger,4,23.92,0.15
ORD504246,2024-09-07,C100446,Central,Electronics,Bluetooth Speaker,3,58.78,0.0
ORD502331,2024-12-06,C101606,Central,Electronics,Smart Watch,3,171.87,0.2
ORD501539,2024-06-08,C102572,West,Electronics,Bluetooth Speaker,1,55.95,0.15
ORD502763,2024-10-30,C101383,Central,Sports & Outdoors,Yoga Mat,2,44.65,0.1
ORD503981,2024-09-08,C100859,East,Apparel,Running Socks,1,13.45,0.0
ORD504769,2024-02-23,C101273,East,Sports & Outdoors,Resistance Bands,3,32.05,0.1
ORD501868,2024-03-03,C101733,South,Electronics,Bluetooth Speaker,2,54.28,0.0
ORD504670,2024-12-04,C101419,Central,Electronics,Laptop Stand,1,47.53,0.1
ORD503660,2024-07-05,C101632,West,  Sports & Outdoors ,Water Bottle,4,26.92,0.0
ORD502753,2024-10-23,C101472,North,Apparel,Hoodie,1,51.51,0.0
ORD500622,2024-04-22,C101843,Central,Home & Kitchen,Storage Containers,3,30.49,0.0
ORD501077,2024-12-10,C100115,Central,APPAREL,Hoodie,2,45.9,0.0
ORD502222,2024-04-24,C101880,East,Beauty,Sheet Mask Pack,2,21.13,0.2
ORD501078,2024-12-04,C101066,South,Sports & Outdoors,Water Bottle,2,24.48,0.0
ORD503135,2024-11-15,C101600,Central,Home & Kitchen,LED Desk Lamp,1,35.47,0.0
ORD504671,2024-05-04,C101428,West,Apparel,Denim Jacket,1,92.74,0.0
ORD502782,2024-10-25,C102493,Central,Apparel,Baseball Cap,1,23.9,0.0
ORD503744,2024-10-17,C100112,South,Apparel,Hoodie,3,55.28,0.0
ORD502264,2024-06-10,C101087,West,Apparel,Cotton T-Shirt,1,22.46,0.0
ORD504186,2024-12-18,C101532,East,Apparel,Running Socks,2,13.32,0.0
ORD500358,2024-09-26,C100452,West,Sports & Outdoors,Camping Lantern,2,41.68,0.0
ORD502474,2024-02-14,C101928,North,Apparel,Baseball Cap,3,27.21,0.2
ORD501365,2024-10-19,C100233,East,Beauty,Lip Balm Trio,2,17.1,0.0
ORD504637,2024-03-31,C100984,North,Apparel,Baseball Cap,4,25.33,0.0
ORD503915,2024-01-18,C101225,Central,Home & Kitchen,Ceramic Mug Set,1,29.79,0.0
ORD503795,2024-11-24,C102134,East,Home & Kitchen,LED Desk Lamp,4,36.46,0.1
ORD503792,2024-09-24,C100006,West,Home & Kitchen,LED Desk Lamp,3,37.31,0.0
ORD500640,2024-07-15,C102216,North,Sports & Outdoors,Resistance Bands,1,33.28,0.0
ORD502201,2024-01-02,C101109,North,Apparel,Hoodie,1,44.7,0.0
ORD504622,2024-11-04,C100371,South,Beauty,Lip Balm Trio,1,16.52,0.2
ORD501680,2024-06-10,C100976,East,Electronics,Laptop Stand,1,41.47,0.0
ORD504098,2024-09-22,C102591,Central,Apparel,Denim Jacket,4,91.77,0.0
ORD500345,2024-10-22,C102405,South,Apparel,Baseball Cap,1,24.86,0.0
ORD504841,2024-05-02,C101686,East,Beauty,Shampoo Bar,2,12.48,0.0
ORD500145,2024-11-20,C101940,North,Electronics,Laptop Stand,1,45.73,0.1
ORD504367,2024-12-24,C101432,North,Apparel,Denim Jacket,2,102.05,0.25
ORD501858,2024-12-21,C100265,North,Apparel,Running Socks,1,15.56,0.0
ORD504528,2024-01-18,C100450,North,Apparel,Denim Jacket,3,81.58,0.0
ORD502116,2024-05-30,C100400,South,Electronics,Laptop Stand,2,43.79,0.0
ORD500120,2024-04-14,C101075,South,Apparel,Cotton T-Shirt,1,22.13,0.0
ORD503340,2024-10-04,C101515,South,Apparel,Running Socks,1,13.96,0.0
ORD502742,2024-08-19,C100989,West,Home & Kitchen,LED Desk Lamp,1,39.48,0.0
ORD502012,2024-06-14,C101662,West,Beauty,Lip Balm Trio,4,14.42,0.1
ORD503885,2024-02-24,C102199,West,Electronics,Bluetooth Speaker,3,61.64,0.0
ORD503027,2024-12-20,C101971,Central,Home & Kitchen,Storage Containers,4,29.56,0.15
ORD501423,2024-12-06,C100278,Central,Home & Kitchen,Cast Iron Pan,3,53.22,0.15
ORD500161,2024-09-28,C101714,South,Apparel,Running Socks,1,13.5,0.0
ORD504551,2024-03-20,C102278,Central,Home & Kitchen,Chef's Knife,1,70.97,0.0
ORD504407,2024-12-24,C102404,West,Sports & Outdoors,Resistance Bands,-1,29.4,0.25
ORD502784,2024-08-21,C102240,South,Home & Kitchen,Cast Iron Pan,1,53.7,0.15
ORD504747,2024-08-03,C100588,North,Electronics,Laptop Stand,1,39.43,0.15
ORD504804,2024-04-07,C100056,East,Sports & Outdoors,Water Bottle,1,25.27,0.0
ORD504209,2024-02-09,C101148,East,Electronics,Bluetooth Speaker,2,55.36,0.0
ORD504665,2024-08-03,C101054,South,Beauty,Face Serum,2,43.02,0.0
ORD503014,2024-12-15,C101914,North,Beauty,Face Serum,3,47.52,0.15
ORD504655,2024-12-07,C101054,South,Electronics,Smart Watch,2,183.63,0.1
ORD500433,2024-12-09,C101927,West,Electronics,Laptop Stand,4,37.53,0.1
ORD501313,2024-11-06,C100883,East,Beauty,Hand Cream,3,19.08,0.25
ORD502740,2024-11-10,C101044,North,Electronics,Laptop Stand,1,50.03,0.0
ORD503015,2024-05-16,C102445,East,Apparel,Hoodie,4,43.24,0.0
ORD503665,2024-05-27,C100716,East,Sports & Outdoors,Yoga Mat,2,36.65,0.0
ORD503637,2024-12-09,C100596,West,Sports & Outdoors,Trekking Poles,4,81.41,0.15
ORD504479,2024-09-27,C100446,Central,  Beauty ,Sheet Mask Pack,2,22.0,0.0
ORD500147,2024-11-10,C100469,East,Apparel,Running Socks,4,13.88,0.0
ORD500194,2024-03-27,C101141,West,Apparel,Hoodie,2,50.46,0.0
ORD500172,2024-11-23,C102513,North,Electronics,USB-C Charger,1,24.4,0.1
ORD500700,2024-10-17,C102099,North,Home & Kitchen,Ceramic Mug Set,2,33.74,0.0
ORD501883,2024-11-08,C100391,North,Beauty,Sheet Mask Pack,1,20.82,0.25
ORD500974,2024-11-25,C101914,,Electronics,Laptop Stand,2,44.73,0.0
ORD502389,2024-01-20,C100600,East,Electronics,Smart Watch,1,207.03,0.0
ORD503272,2024-02-23,C101283,West,Electronics,Smart Watch,1,184.77,0.0
ORD503707,2024-06-13,C100642,North,Sports & Outdoors,Water Bottle,3,26.76,0.0
ORD502676,2024-03-17,C101764,North,Home & Kitchen,Cast Iron Pan,1,55.58,0.0
ORD500876,2024-03-26,C101569,East,Sports & Outdoors,Water Bottle,4,24.92,0.0
ORD504647,2024-09-23,C100924,North,Home & Kitchen,Storage Containers,1,28.13,0.0
ORD503175,2024-03-19,C100355,East,Apparel,Baseball Cap,3,22.78,0.0
ORD503598,2024-11-28,C101913,East,Apparel,Hoodie,2,51.99,0.0
ORD502129,2024-11-02,C100923,East,Electronics,Laptop Stand,2,41.01,0.1
ORD501538,2024-07-27,C100197,Central,Apparel,Running Socks,2,14.94,0.0
ORD502969,2024-09-13,C101706,North,Electronics,Smart Watch,2,183.25,0.0
ORD502941,2024-06-05,C101220,North,Electronics,Smart Watch,1,187.71,0.0
ORD502267,2024-02-12,C100252,East,Home & Kitchen,LED Desk Lamp,1,37.11,0.0
ORD500275,2024-01-01,C100951,South,Electronics,Laptop Stand,1,40.89,0.0
ORD504926,2024-12-20,C101181,North,Home & Kitchen,LED Desk Lamp,4,39.51,0.25
ORD504323,2024-08-11,C102265,North,Apparel,Cotton T-Shirt,2,20.38,0.0
ORD503732,2024-11-24,C100461,North,Home & Kitchen,LED Desk Lamp,2,37.91,0.0
ORD501436,2024-04-12,C100257,North,Home & Kitchen,Ceramic Mug Set,1,35.49,0.0
ORD503727,2024-03-22,C102013,East,Electronics,Smart Watch,4,185.48,0.2
ORD500470,2024-03-13,C100979,North,Home & Kitchen,Ceramic Mug Set,1,37.28,0.0
ORD500500,2024-07-17,C101356,East,  Electronics ,Bluetooth Speaker,2,60.6,0.0
ORD502218,2024-08-21,C100081,South,Apparel,Hoodie,1,43.75,0.0
ORD502881,2024-09-04,C102156,North,Apparel,Baseball Cap,4,23.12,0.0
ORD501428,2024-12-07,C101534,North,Apparel,Denim Jacket,-2,93.07,0.1
ORD501523,2024-10-26,C100457,,sports & outdoors,Camping Lantern,1,46.23,0.0
ORD502865,2024-07-04,C101280,South,Electronics,Smart Watch,1,210.99,0.1
ORD502845,2024-09-11,C100778,West,Sports & Outdoors,Yoga Mat,4,35.09,0.0
ORD505100,2024-02-07,C101431,East,Electronics,Wireless Earbuds,1,79.55,0.0
ORD500446,2024-11-10,C101778,South,Beauty,Hand Cream,1,16.14,0.25
ORD501542,2024-08-11,C100575,East,Sports & Outdoors,Camping Lantern,1,42.71,0.0
ORD503311,2024-08-10,C100927,Central,Electronics,Laptop Stand,2,38.49,0.0
ORD501584,2024-03-31,C101364,East,Home & Kitchen,LED Desk Lamp,3,39.49,0.0
ORD504445,2024-09-15,C101639,West,Electronics,Wireless Earbuds,2,79.4,0.0
ORD503632,2024-04-14,C102014,South,Home & Kitchen,Cast Iron Pan,1,54.66,0.0
ORD502901,2024-10-08,C100595,South,Apparel,Denim Jacket,1,79.15,0.15
ORD500932,2024-11-13,C102127,,  Home & Kitchen ,Ceramic Mug Set,1,36.38,0.2
ORD502460,2024-11-29,C102442,North,Apparel,Denim Jacket,4,79.38,0.0
ORD504924,2024-04-16,C101577,Central,Electronics,Wireless Earbuds,3,77.56,0.0
ORD500407,2024-12-02,C100373,South,  Home & Kitchen ,Chef's Knife,2,65.18,0.0
ORD500567,2024-05-07,C100635,North,Beauty,Face Serum,3,46.54,0.0
ORD501763,2024-04-19,C101280,South,Electronics,Laptop Stand,1,44.22,0.0
ORD503050,2024-04-01,C100485,South,Apparel,Hoodie,1,54.52,0.0
ORD500561,2024-03-14,C101792,North,Home & Kitchen,Chef's Knife,1,71.99,0.15
ORD503377,2024-12-29,C101532,,Home & Kitchen,Chef's Knife,1,67.79,0.1
ORD502644,2024-08-03,C102033,East,Home & Kitchen,Cast Iron Pan,2,54.91,0.0
ORD505074,2024-05-12,C101495,West,Beauty,Sheet Mask Pack,2,23.14,0.0
ORD500672,2024-04-14,C102197,East,Electronics,Laptop Stand,4,42.53,0.0
ORD503870,2024-01-13,C100162,North,Sports & Outdoors,Yoga Mat,1,38.18,0.0
ORD502593,2024-04-15,C101432,North,Apparel,Hoodie,4,55.01,0.0
ORD501690,2024-10-26,C101778,South,Apparel,Running Socks,4,13.83,0.0
ORD504715,2024-03-01,C100551,North,Home & Kitchen,Storage Containers,3,29.01,0.15
ORD503693,2024-09-30,C102168,South,Electronics,Bluetooth Speaker,1,55.92,0.0
ORD503826,2024-10-04,C102248,South,Home & Kitchen,Storage Containers,1,27.24,0.0
ORD501721,2024-09-22,C100984,North,Electronics,Laptop Stand,1,42.15,0.0
ORD503305,2024-11-15,C100888,North,Electronics,Smart Watch,3,210.43,0.1
ORD503906,2024-03-19,C101627,North,Sports & Outdoors,Trekking Poles,1,71.12,0.0
ORD501286,2024-11-30,C102191,East,Sports & Outdoors,Camping Lantern,2,46.06,0.1
ORD501493,2024-12-05,C100322,South,sports & outdoors,Trekking Poles,1,74.98,0.15
ORD503882,2024-04-14,C100025,North,APPAREL,Cotton T-Shirt,1,21.02,0.0
ORD502305,2024-12-26,C100328,,Electronics,Wireless Earbuds,3,81.62,0.1
ORD504485,2024-03-04,C101069,South,Sports & Outdoors,Camping Lantern,1,42.2,0.0
ORD500336,2024-08-13,C100259,East,Apparel,Running Socks,3,14.78,0.2
ORD504965,2024-05-31,C102006,East,Sports & Outdoors,Trekking Poles,4,68.09,0.0
ORD501342,2024-12-01,C101566,North,Beauty,Sheet Mask Pack,1,19.72,0.2
ORD505039,2024-08-20,C102585,East,Apparel,Running Socks,1,15.43,0.0
ORD503105,2024-02-26,C102220,South,Sports & Outdoors,Yoga Mat,3,38.18,0.0
ORD504667,2024-10-11,C100147,East,Electronics,Laptop Stand,3,37.94,0.1
ORD504059,2024-10-10,C102036,Central,  Home & Kitchen ,Storage Containers,2,27.87,0.0
ORD500699,2024-05-12,C102391,West,Home & Kitchen,Cast Iron Pan,4,53.08,0.0
ORD502134,2024-12-31,C101648,Central,Electronics,Laptop Stand,1,42.75,0.25
ORD500213,2024-07-09,C101898,North,Sports & Outdoors,Resistance Bands,1,29.95,0.0
ORD504725,2024-05-21,C100440,Central,Apparel,Cotton T-Shirt,1,20.07,0.0
ORD501580,2024-09-11,C100307,West,Beauty,Sheet Mask Pack,1,20.05,0.15
ORD504156,2024-01-27,C101566,North,Sports & Outdoors,Water Bottle,2,29.09,0.15
ORD503952,2024-12-27,C102188,South,Sports & Outdoors,Resistance Bands,1,29.12,0.15
ORD500083,2024-11-04,C100993,North,Apparel,Hoodie,3,51.53,0.25
ORD504681,2024-01-18,C100276,South,Sports & Outdoors,Yoga Mat,1,36.02,0.0
ORD503126,2024-10-07,C100100,Central,Apparel,Hoodie,1,45.49,0.0
ORD502679,2024-08-05,C101899,North,Apparel,Denim Jacket,1,91.14,0.0
ORD504646,2024-02-22,C100507,West,Electronics,Bluetooth Speaker,4,57.13,0.0
ORD501930,2024-11-15,C100190,Central,Sports & Outdoors,Water Bottle,1,27.72,0.1
ORD504724,2024-05-23,C100541,East,Home & Kitchen,Chef's Knife,1,66.53,0.1
ORD500615,2024-04-30,C101910,North,Electronics,USB-C Charger,4,22.97,0.0
ORD502540,2024-04-08,C101060,Central,Electronics,Wireless Earbuds,2,93.99,0.0
ORD504490,2024-09-12,C101832,East,Beauty,Hand Cream,4,18.11,0.0
ORD504829,2024-09-23,C101287,South,Sports & Outdoors,Camping Lantern,1,44.55,0.0
ORD503723,2024-12-26,C101088,East,Home & Kitchen,Cast Iron Pan,2,51.14,0.15
ORD501444,2024-09-13,C101024,West,Home & Kitchen,Cast Iron Pan,3,59.12,0.0
ORD503797,2024-12-13,C101567,North,Beauty,Lip Balm Trio,2,16.11,0.0
ORD502562,2024-11-14,C100924,North,Electronics,Bluetooth Speaker,1,61.6,0.1
ORD501772,2024-02-19,C101714,South,Apparel,Cotton T-Shirt,3,23.34,0.0
ORD504483,2024-12-07,C101210,West,Home & Kitchen,LED Desk Lamp,1,37.22,0.2
ORD504586,2024-04-20,C102157,South,Apparel,Denim Jacket,1,78.73,0.15
ORD501046,2024-03-13,C100666,West,Electronics,Laptop Stand,2,45.53,0.15
ORD504345,2024-06-03,C100018,West,electronics,Bluetooth Speaker,1,57.32,0.0
ORD502646,2024-12-28,C101049,South,Home & Kitchen,LED Desk Lamp,4,37.09,0.0
ORD500028,2024-11-30,C102446,North,Home & Kitchen,Ceramic Mug Set,1,31.87,0.15
ORD503337,2024-01-25,C101949,Central,Sports & Outdoors,Resistance Bands,1,31.83,0.0
ORD504898,2024-06-06,C101681,West,Apparel,Baseball Cap,3,23.46,0.0
ORD502431,2024-09-04,C101501,Central,Electronics,Wireless Earbuds,1,75.06,0.0
ORD500246,2024-02-18,C102108,South,Sports & Outdoors,Trekking Poles,2,76.47,0.2
ORD504737,2024-10-23,C100930,South,Apparel,Cotton T-Shirt,1,22.67,0.0
ORD501495,2024-04-16,C100508,East,Apparel,Hoodie,1,55.41,0.0
ORD501874,2024-10-23,C101829,,Apparel,Denim Jacket,4,92.83,0.15
ORD505193,2024-03-20,C101982,Central,Electronics,Bluetooth Speaker,1,54.52,0.0
ORD500195,2024-01-31,C101192,Central,Sports & Outdoors,Water Bottle,1,29.78,0.0
ORD501051,2024-08-02,C100892,South,Electronics,USB-C Charger,1,25.35,0.0
ORD503935,2024-07-30,C101789,North,Apparel,Denim Jacket,2,92.41,0.0
ORD500004,2024-12-13,C101176,East,Electronics,USB-C Charger,2,23.9,0.15
ORD501104,2024-08-22,C101103,West,Home & Kitchen,Ceramic Mug Set,1,30.4,0.1
ORD504196,2024-12-04,C101644,North,Electronics,Bluetooth Speaker,2,54.89,0.1
ORD500210,2024-10-12,C102442,North,Sports & Outdoors,Water Bottle,1,27.18,0.0
ORD501222,2024-04-20,C100480,South,Apparel,Denim Jacket,2,88.5,0.0
ORD502128,2024-04-05,C101988,Central,Home & Kitchen,Ceramic Mug Set,1,32.99,0.0
ORD500788,2024-11-27,C100591,East,Electronics,USB-C Charger,4,26.44,0.15
ORD500449,2024-10-14,C101659,North,Sports & Outdoors,Yoga Mat,1,39.65,0.0
ORD500985,2024-06-08,C101370,North,Sports & Outdoors,Camping Lantern,4,41.85,0.0
ORD501343,2024-04-07,C101302,West,Home & Kitchen,LED Desk Lamp,1,37.32,0.0
ORD500372,2024-04-23,C100883,East,Electronics,Laptop Stand,1,38.37,0.1
ORD500162,2024-12-20,C100581,East,Home & Kitchen,Storage Containers,2,28.12,0.0
